Tag,Chromophore,Solvent,epsilon,Absorption max (nm),Emission max (nm),Reference
122,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CC#N,36.0,507.0,633.0,https://doi.org/10.1016/j.dyepig.2018.02.016
133,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CC#N,36.0,655.0,672.0,http://dx.doi.org/10.1016/j.dyepig.2015.03.004
136,COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,36.0,374.0,479.0,https://doi.org/10.1016/j.dyepig.2018.04.037
137,C(=C/c1nc(-c2ccccc2)c2ccccn12)\c1nc(-c2ccccc2)c2ccccn12,CC#N,36.0,438.0,491.0,https://doi.org/10.1016/j.dyepig.2018.04.037
138,O=C(O)c1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,36.0,357.0,494.0,https://doi.org/10.1016/j.dyepig.2018.04.037
139,O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,CC#N,36.0,372.0,501.0,https://doi.org/10.1016/j.dyepig.2018.04.037
140,O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,CC#N,36.0,353.0,473.0,https://doi.org/10.1016/j.dyepig.2018.04.037
141,O=C(O)c1ccc(-c2ccc(-c3nc(-c4ccccc4)c4ccccn34)cc2)s1,CC#N,36.0,362.0,485.0,https://doi.org/10.1016/j.dyepig.2018.04.037
146,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCCCCC,1.89,427.0,465.0,https://doi.org/10.1016/j.dyepig.2016.11.056
149,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,C1CCOC1,7.47,432.0,485.0,https://doi.org/10.1016/j.dyepig.2016.11.056
150,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCCCCC,1.89,497.0,594.0,https://doi.org/10.1016/j.dyepig.2016.11.056
153,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,C1CCOC1,7.47,520.0,609.0,https://doi.org/10.1016/j.dyepig.2016.11.056
154,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCCCCC,1.89,480.0,555.0,https://doi.org/10.1016/j.dyepig.2016.11.056
157,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,C1CCOC1,7.47,497.0,583.0,https://doi.org/10.1016/j.dyepig.2016.11.056
158,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCCCCC,1.89,432.0,486.0,https://doi.org/10.1016/j.dyepig.2016.11.056
161,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,C1CCOC1,7.47,436.0,497.0,https://doi.org/10.1016/j.dyepig.2016.11.056
196,c1ccc2cc3ccccc3cc2c1,C1CCCCC1,2.02,355.0,400.0,10.1021/ac062160k
226,N#Cc1cc2ccccc2[nH]1,C1COCCO1,2.27,281.595092,329.0,http://dx.doi.org/10.1016/j.cplett.2017.07.038
227,N#Cc1c[nH]c2ccccc12,C1COCCO1,2.27,277.3006135,305.0,http://dx.doi.org/10.1016/j.cplett.2017.07.038
228,N#Cc1cccc2[nH]ccc12,C1COCCO1,2.27,304.2944785,369.0,http://dx.doi.org/10.1016/j.cplett.2017.07.038
229,N#Cc1ccc2[nH]ccc2c1,C1COCCO1,2.27,274.8466258,348.0,http://dx.doi.org/10.1016/j.cplett.2017.07.038
230,N#Cc1ccc2cc[nH]c2c1,C1COCCO1,2.27,284.3558282,342.0,http://dx.doi.org/10.1016/j.cplett.2017.07.038
231,N#Cc1cccc2cc[nH]c12,C1COCCO1,2.27,307.3619632,367.0,http://dx.doi.org/10.1016/j.cplett.2017.07.038
232,N#Cc1cc2ccccc2[nH]1,CC#N,36.0,279.6875,330.0,http://dx.doi.org/10.1016/j.cplett.2017.07.038
233,N#Cc1c[nH]c2ccccc12,CC#N,36.0,276.25,313.0,http://dx.doi.org/10.1016/j.cplett.2017.07.038
234,N#Cc1cccc2[nH]ccc12,CC#N,36.0,302.8125,380.0,http://dx.doi.org/10.1016/j.cplett.2017.07.038
235,N#Cc1ccc2[nH]ccc2c1,CC#N,36.0,275.0,362.0,http://dx.doi.org/10.1016/j.cplett.2017.07.038
236,N#Cc1ccc2cc[nH]c2c1,CC#N,36.0,285.0,354.0,http://dx.doi.org/10.1016/j.cplett.2017.07.038
237,N#Cc1cccc2cc[nH]c12,CC#N,36.0,309.6875,378.0,http://dx.doi.org/10.1016/j.cplett.2017.07.038
309,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,C1CCCCC1,2.02,408.0,446.0,http://doi.org.ssl.oca.korea.ac.kr/10.1562/0031-8655(2000)0720625EOSOTE2.0.CO2
311,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CC#N,36.0,418.0,538.0,http://doi.org.ssl.oca.korea.ac.kr/10.1562/0031-8655(2000)0720625EOSOTE2.0.CO2
313,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CN(C)C=O,37.06,430.0,542.0,http://doi.org.ssl.oca.korea.ac.kr/10.1562/0031-8655(2000)0720625EOSOTE2.0.CO2
348,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCCCCC,1.89,368.0,493.0,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
351,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOCC,4.42,369.0,585.0,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
352,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,C1CCOC1,7.47,374.0,662.0,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
355,Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,CCCCCC,1.89,395.0,512.0,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
358,Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,CCOCC,4.42,433.0,643.0,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
362,O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,CCCCCC,1.89,442.0,529.0,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
365,O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,CCOCC,4.42,443.0,645.0,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
366,O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,C1CCOC1,7.47,447.0,713.0,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
369,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCCCCC,1.89,457.0,542.0,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
372,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOCC,4.42,459.0,680.0,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
376,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCCCCC,1.89,468.0,571.0,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
379,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOCC,4.42,472.0,720.0,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
383,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CC#N,36.0,497.0,508.0,https://doi.org/10.1016/j.dyepig.2019.01.019
387,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,C1CCOC1,7.47,500.0,512.0,https://doi.org/10.1016/j.dyepig.2019.01.019
388,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CCCCCC,1.89,501.0,511.0,https://doi.org/10.1016/j.dyepig.2019.01.019
390,COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC#N,36.0,499.0,512.0,https://doi.org/10.1016/j.dyepig.2019.01.019
394,COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,C1CCOC1,7.47,503.0,516.0,https://doi.org/10.1016/j.dyepig.2019.01.019
395,COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCCCCC,1.89,504.0,516.0,https://doi.org/10.1016/j.dyepig.2019.01.019
397,COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC#N,36.0,500.0,513.0,https://doi.org/10.1016/j.dyepig.2019.01.019
401,COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,C1CCOC1,7.47,506.0,520.0,https://doi.org/10.1016/j.dyepig.2019.01.019
402,COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCCCCC,1.89,507.0,519.0,https://doi.org/10.1016/j.dyepig.2019.01.019
404,COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CC#N,36.0,501.0,513.0,https://doi.org/10.1016/j.dyepig.2019.01.019
408,COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,C1CCOC1,7.47,506.0,517.0,https://doi.org/10.1016/j.dyepig.2019.01.019
409,COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CCCCCC,1.89,505.0,520.0,https://doi.org/10.1016/j.dyepig.2019.01.019
411,C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,CCCCCCC,1.94,360.0,382.0,http://dx.doi.org/10.1016/j.dyepig.2015.08.018
412,C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,C1COCCO1,2.27,356.0,436.0,http://dx.doi.org/10.1016/j.dyepig.2015.08.018
413,C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,CC#N,36.0,350.0,492.0,http://dx.doi.org/10.1016/j.dyepig.2015.08.018
415,CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,CCCCCCC,1.94,383.0,446.0,http://dx.doi.org/10.1016/j.dyepig.2015.08.018
416,CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,C1COCCO1,2.27,392.0,488.0,http://dx.doi.org/10.1016/j.dyepig.2015.08.018
417,CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,CC#N,36.0,392.0,540.0,http://dx.doi.org/10.1016/j.dyepig.2015.08.018
419,C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,CCCCCCC,1.94,393.0,472.0,http://dx.doi.org/10.1016/j.dyepig.2015.08.018
420,C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,C1COCCO1,2.27,395.0,481.0,http://dx.doi.org/10.1016/j.dyepig.2015.08.018
421,C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,CC#N,36.0,396.0,534.0,http://dx.doi.org/10.1016/j.dyepig.2015.08.018
423,C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,CCCCCCC,1.94,403.0,442.0,http://dx.doi.org/10.1016/j.dyepig.2015.08.018
424,C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,C1COCCO1,2.27,413.0,518.0,http://dx.doi.org/10.1016/j.dyepig.2015.08.018
425,C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,CC#N,36.0,413.0,569.0,http://dx.doi.org/10.1016/j.dyepig.2015.08.018
427,Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,CCCCOCCCC,3.18,455.0,540.0,doi:10.1016/j.dyepig.2008.12.009
428,CC(=O)Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,CCCCOCCCC,3.18,453.0,471.0,doi:10.1016/j.dyepig.2008.12.009
429,Clc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CCCCOCCCC,3.18,443.0,475.0,doi:10.1016/j.dyepig.2008.12.009
430,COc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CCCCOCCCC,3.18,443.0,477.0,doi:10.1016/j.dyepig.2008.12.009
431,COc1nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)nc(OC)n1,CCCCOCCCC,3.18,442.0,477.0,doi:10.1016/j.dyepig.2008.12.009
432,Clc1nc(Nc2ccccc2)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CCCCOCCCC,3.18,443.0,476.0,doi:10.1016/j.dyepig.2008.12.009
433,c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4c5cccc6cccc(c7cccc3c74)c65)n2)cc1,CCCCOCCCC,3.18,444.0,486.0,doi:10.1016/j.dyepig.2008.12.009
434,Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,C1COCCO1,2.27,464.0,549.0,doi:10.1016/j.dyepig.2008.12.009
435,CC(=O)Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,C1COCCO1,2.27,447.0,471.0,doi:10.1016/j.dyepig.2008.12.009
436,Clc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,C1COCCO1,2.27,446.0,472.0,doi:10.1016/j.dyepig.2008.12.009
437,COc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,C1COCCO1,2.27,443.0,479.0,doi:10.1016/j.dyepig.2008.12.009
438,COc1nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)nc(OC)n1,C1COCCO1,2.27,443.0,478.0,doi:10.1016/j.dyepig.2008.12.009
439,Clc1nc(Nc2ccccc2)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,C1COCCO1,2.27,444.0,478.0,doi:10.1016/j.dyepig.2008.12.009
440,c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4c5cccc6cccc(c7cccc3c74)c65)n2)cc1,C1COCCO1,2.27,444.0,487.0,doi:10.1016/j.dyepig.2008.12.009
448,Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,CC#N,36.0,468.0,564.0,doi:10.1016/j.dyepig.2008.12.009
449,CC(=O)Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,CC#N,36.0,441.0,471.0,doi:10.1016/j.dyepig.2008.12.009
450,Clc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CC#N,36.0,443.0,475.0,doi:10.1016/j.dyepig.2008.12.009
451,COc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CC#N,36.0,444.0,482.0,doi:10.1016/j.dyepig.2008.12.009
452,COc1nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)nc(OC)n1,CC#N,36.0,444.0,479.0,doi:10.1016/j.dyepig.2008.12.009
453,Clc1nc(Nc2ccccc2)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CC#N,36.0,442.0,477.0,doi:10.1016/j.dyepig.2008.12.009
454,c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4c5cccc6cccc(c7cccc3c74)c65)n2)cc1,CC#N,36.0,444.0,492.0,doi:10.1016/j.dyepig.2008.12.009
467,CCOC(=O)CN1C(=O)C2=C(c3ccccc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CC#N,36.0,454.0,512.0,doi:10.1016/j.dyepig.2011.05.004
468,CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CC#N,36.0,464.0,538.0,doi:10.1016/j.dyepig.2011.05.004
469,CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,CC#N,36.0,473.0,549.0,doi:10.1016/j.dyepig.2011.05.004
470,CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CC#N,36.0,500.0,587.0,doi:10.1016/j.dyepig.2011.05.004
471,CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(N2CCCCC2)cc1,CC#N,36.0,523.0,590.0,doi:10.1016/j.dyepig.2011.05.004
472,CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,CC#N,36.0,524.0,638.0,doi:10.1016/j.dyepig.2011.05.004
512,COc1nc(Cl)nc(Nc2ccc3cc4ccccc4cc3c2)n1,CCCCOCCCC,3.18,396.0,429.0,doi:10.1016/j.dyepig.2011.08.018
513,COc1nc(Nc2ccc3cc4ccccc4cc3c2)nc(OC)n1,CCCCOCCCC,3.18,398.0,435.0,doi:10.1016/j.dyepig.2011.08.018
514,Clc1nc(Nc2ccccc2)nc(Nc2ccc3cc4ccccc4cc3c2)n1,CCCCOCCCC,3.18,398.0,430.0,doi:10.1016/j.dyepig.2011.08.018
515,c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4cc5ccccc5cc4c3)n2)cc1,CCCCOCCCC,3.18,402.0,441.0,doi:10.1016/j.dyepig.2011.08.018
517,COc1nc(Cl)nc(Nc2ccc3cc4ccccc4cc3c2)n1,C1COCCO1,2.27,394.0,432.0,doi:10.1016/j.dyepig.2011.08.018
518,COc1nc(Nc2ccc3cc4ccccc4cc3c2)nc(OC)n1,C1COCCO1,2.27,394.0,435.0,doi:10.1016/j.dyepig.2011.08.018
519,Clc1nc(Nc2ccccc2)nc(Nc2ccc3cc4ccccc4cc3c2)n1,C1COCCO1,2.27,398.0,436.0,doi:10.1016/j.dyepig.2011.08.018
520,c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4cc5ccccc5cc4c3)n2)cc1,C1COCCO1,2.27,402.0,442.0,doi:10.1016/j.dyepig.2011.08.018
527,COc1nc(Cl)nc(Nc2ccc3cc4ccccc4cc3c2)n1,CC#N,36.0,397.0,431.0,doi:10.1016/j.dyepig.2011.08.018
528,COc1nc(Nc2ccc3cc4ccccc4cc3c2)nc(OC)n1,CC#N,36.0,395.0,431.0,doi:10.1016/j.dyepig.2011.08.018
529,Clc1nc(Nc2ccccc2)nc(Nc2ccc3cc4ccccc4cc3c2)n1,CC#N,36.0,397.0,432.0,doi:10.1016/j.dyepig.2011.08.018
530,c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4cc5ccccc5cc4c3)n2)cc1,CC#N,36.0,401.0,441.0,doi:10.1016/j.dyepig.2011.08.018
531,Nc1ccc2ccc3cccc4ccc1c2c34,CCCCOCCCC,3.18,361.0,417.0,doi:10.1016/j.dyepig.2007.11.003
532,Nc1ccc2ccc3cccc4ccc1c2c34,CC#N,36.0,361.0,425.0,doi:10.1016/j.dyepig.2007.11.003
534,Nc1cc2ccc3cccc4ccc(c1)c2c34,CCCCOCCCC,3.18,338.0,432.0,doi:10.1016/j.dyepig.2007.11.003
535,Nc1cc2ccc3cccc4ccc(c1)c2c34,CC#N,36.0,338.0,438.0,doi:10.1016/j.dyepig.2007.11.003
537,CC(=O)Nc1ccc2ccc3cccc4ccc1c2c34,CCCCOCCCC,3.18,341.0,385.0,doi:10.1016/j.dyepig.2007.11.003
538,CC(=O)Nc1ccc2ccc3cccc4ccc1c2c34,CC#N,36.0,339.0,386.0,doi:10.1016/j.dyepig.2007.11.003
540,CC(=O)Nc1cc2ccc3cccc4ccc(c1)c2c34,CCCCOCCCC,3.18,336.0,389.0,doi:10.1016/j.dyepig.2007.11.003
541,CC(=O)Nc1cc2ccc3cccc4ccc(c1)c2c34,CC#N,36.0,334.0,388.0,doi:10.1016/j.dyepig.2007.11.003
546,Clc1nc(Cl)nc(Nc2cc3ccc4cccc5ccc(c2)c3c45)n1,CCCCOCCCC,3.18,336.0,374.0,doi:10.1016/j.dyepig.2007.11.003
549,COc1nc(Nc2ccc3ccc4cccc5ccc2c3c45)nc(OC)n1,CCCCOCCCC,3.18,341.0,388.0,doi:10.1016/j.dyepig.2007.11.003
550,COc1nc(Nc2ccc3ccc4cccc5ccc2c3c45)nc(OC)n1,CC#N,36.0,340.0,390.0,doi:10.1016/j.dyepig.2007.11.003
552,COc1nc(Nc2cc3ccc4cccc5ccc(c2)c3c45)nc(OC)n1,CCCCOCCCC,3.18,336.0,393.0,doi:10.1016/j.dyepig.2007.11.003
