Tag,Chromophore,Solvent,abs,emi,epsilon,fast_epsilon
14,COC1=CC=CC(C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2)=C1,CS(=O)C,384.0,526.0,46.71,2.187
15,O=C(C1=CC2=NC(C(C=C3)=CC=C3N4C=CN=C4)=C(NC5CCCCC5)N2C=C1)OC,CS(=O)C,387.0,529.0,46.71,2.187
16,CN1C(C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2)=CC=C1,CS(=O)C,392.0,530.0,46.71,2.187
17,OC1=CC(OC)=CC=C1C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,CS(=O)C,391.0,531.0,46.71,2.187
18,ClC1=CC=C(O1)C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,CS(=O)C,392.0,532.0,46.71,2.187
19,O=C(C1=CC2=NC(C3=CNC=N3)=C(NC4CCCCC4)N2C=C1)OC,CS(=O)C,400.0,532.0,46.71,2.187
20,O=C(C1=CC2=NC(C(O3)=CC=C3S(=O)(O)=O)=C(NC4CCCCC4)N2C=C1)OC,CS(=O)C,393.0,533.0,46.71,2.187
21,OC1=CC(O)=CC=C1C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,CS(=O)C,394.0,534.0,46.71,2.187
22,CC1=CC=C(O1)C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,CS(=O)C,398.0,535.0,46.71,2.187
23,CC1=CC=C(O1)C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=[N+]2C,CS(=O)C,399.0,568.0,46.71,2.187
24,CC1=CC=C(O1)C2=C(NC3CCCCC3)N(C=CN=C4)C4=N2,CS(=O)C,368.0,500.0,46.71,2.187
25,O=C(C1=CC2=NC(C3=CC=CC=C3S(=O)(O)=O)=C(NC4CCCCC4)N2C=C1)OC,CS(=O)C,382.0,539.0,46.71,2.187
26,C/C(C1=C(NC2CCCCC2)N(C=CC(C(OC)=O)=C3)C3=N1)=C\C4=CC=CC=C4,CS(=O)C,392.0,542.0,46.71,2.187
27,O=C(C1=CC2=NC(/C=C/C3=CC=CO3)=C(NC4CCCCC4)N2C=C1)OC,CS(=O)C,413.0,558.0,46.71,2.187
28,O=C(C1=CC2=NC(/C=C/C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1)OC,CS(=O)C,414.0,559.0,46.71,2.187
29,COC(C=C1)=CC=C1/C=C/C2=C(NC3CCCCC3)N(C=CN=C4)C4=N2,CS(=O)C,365.0,514.0,46.71,2.187
30,CN(C)C(C=C1)=CC=C1/C=C/C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,CS(=O)C,434.0,573.0,46.71,2.187
31,CN(C)C(C=C1)=CC=C1/C=C/C2=C(NC3CCCCC3)N(C=CN=C4)C4=N2,CS(=O)C,407.0,520.0,46.71,2.187
32,FC1=CC=C(C=C1)NC2=C(/C=C/C3=CC=C(OC)C=C3)N=C4C=C(C(OC)=O)C=CN42,CS(=O)C,400.0,528.0,46.71,2.187
33,O=C(C1=CC2=NC(/C=C/C3=CC=C(OC)C=C3)=C(NCCN4CCOCC4)N2C=C1)OC,CS(=O)C,384.0,542.0,46.71,2.187
34,CC(C)(C)NC1=C(/C=C/C2=CC=C(OC)C=C2)N=C3C=C(C(OC)=O)C=CN31,CS(=O)C,416.0,554.0,46.71,2.187
35,O=C(OC(C)(C)C)CNC1=C(/C=C/C2=CC=C(OC)C=C2)N=C3C=C(C(OC)=O)C=CN31,CS(=O)C,410.0,555.0,46.71,2.187
36,O=C(C1=CC2=NC(/C=C/C3=CC=C(OC)C=C3)=C(NCC(OC)=O)N2C=C1)OC,CS(=O)C,411.0,556.0,46.71,2.187
37,O=C(C1=CC2=NC(/C=C/C3=CC=C(OC)C=C3)=C(NCC4=CC=CC=C4)N2C=C1)OC,CS(=O)C,419.0,556.0,46.71,2.187
38,CC(C)NC1=C(/C=C/C2=CC=C(OC)C=C2)N=C3C=C(C(OC)=O)C=CN31,CS(=O)C,413.0,558.0,46.71,2.187
39,CC1=CC=C(C2=C(N3C=CC(C(OC)=O)=CC3=N2)NCC(N(CCC)CCC)=O)O1,CS(=O)C,391.0,532.0,46.71,2.187
40,O=C(CNC(N1C=C2)=C(/C=C/C3=CC=C(C=C3)OC)N=C1C=C2C(OC)=O)N(CCC)CCC,CS(=O)C,413.0,558.0,46.71,2.187
41,COC(C1=CC2=NC(C3=CC=C(Cl)C=C3)=C(N2C=C1)NCC(N(CCC)CCC)=O)=O,CS(=O)C,385.0,524.0,46.71,2.187
42,O=C(CNC(N1C=C2)=C(C3=C(O)C=C(C)C=C3)N=C1C=C2C(OC)=O)N(CCC)CCC,CS(=O)C,390.0,530.0,46.71,2.187
43,ClC(C=C1)=CC=C1C2=C(NCC(N(CCC)CCC)=O)N(C=CC(C#N)=C3)C3=N2,CS(=O)C,387.0,520.0,46.71,2.187
44,NC1=C(C2=CC=C(Cl)C=C2)N=C3C=C(C#N)C=CN31,CS(=O)C,430.0,513.0,46.71,2.187
45,NC1=CC(C(OC)=O)=CC=N1,CS(=O)C,342.0,424.0,46.71,2.187
46,NC1=CC=CC(C(OC)=O)=N1,CS(=O)C,326.0,411.0,46.71,2.187
47,NC1=NC=CC=N1,CS(=O)C,296.0,350.0,46.71,2.187
48,NC1=NC=CN=C1,CS(=O)C,321.0,383.0,46.71,2.187
49,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(OC)c(OC)c1)C=CC=2,CS(=O)C,562.0,585.0,46.71,2.187
50,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OCc3ccccc3)c(OCc3ccccc3)cc1)C=CC=2,CS(=O)C,567.0,595.0,46.71,2.187
51,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)-c1ccccc1)C=CC=2,CS(=O)C,564.0,582.0,46.71,2.187
52,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(cc4c1cccc4)cccc3)C=CC=2,CS(=O)C,536.0,545.0,46.71,2.187
53,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OCc3ccccc3)c(OC)cc1)C=CC=2,CS(=O)C,567.0,597.0,46.71,2.187
54,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(-n3ccnc3)cc1)C=CC=2,CS(=O)C,561.0,578.0,46.71,2.187
55,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(ccc1)C)C=CC=2,CS(=O)C,555.0,570.0,46.71,2.187
56,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(F)ccc1F)C=CC=2,CS(=O)C,559.0,569.0,46.71,2.187
57,Brc1cc(ccc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,554.0,568.0,46.71,2.187
58,Clc1ccc(cc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,556.0,570.0,46.71,2.187
59,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(O)c(O)c1)C=CC=2,CS(=O)C,557.0,572.0,46.71,2.187
60,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C#N)C=CC=2,CS(=O)C,561.0,576.0,46.71,2.187
61,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(C)c(Oc3ccccc3)c(c1)C)C=CC=2,CS(=O)C,559.0,578.0,46.71,2.187
62,S(C)c1ccc(cc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,565.0,589.0,46.71,2.187
63,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C(C)C)C=CC=2,CS(=O)C,557.0,573.0,46.71,2.187
64,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(Oc3ccccc3)ccc1)C=CC=2,CS(=O)C,555.0,570.0,46.71,2.187
65,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1occc1)C=CC=2,CS(=O)C,567.0,585.0,46.71,2.187
66,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(ccc1)cccc3)C=CC=2,CS(=O)C,564.0,587.0,46.71,2.187
67,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\C=C\c1ccccc1OC)C=CC=2,CS(=O)C,560.0,579.0,46.71,2.187
68,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1)C=CC=2,CS(=O)C,554.0,568.0,46.71,2.187
69,Clc1cc(cc(OC)c1O)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,567.0,585.0,46.71,2.187
70,s1c(ccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C)-c1sccc1,CS(=O)C,596.0,649.0,46.71,2.187
71,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(cccc3)c(OC)cc1)C=CC=2,CS(=O)C,575.0,639.0,46.71,2.187
72,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(ccc1O)C)C=CC=2,CS(=O)C,564.0,585.0,46.71,2.187
73,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(ccc1C)cccc3)C=CC=2,CS(=O)C,546.0,585.0,46.71,2.187
74,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1nc3c(cc1)cccc3)C=CC=2,CS(=O)C,563.0,577.0,46.71,2.187
75,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(cccc3)c(cc1)C)C=CC=2,CS(=O)C,567.0,596.0,46.71,2.187
76,s1cc(c2c1cccc2)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,565.0,586.0,46.71,2.187
77,Clc1c(O)c(OC)ccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,566.0,589.0,46.71,2.187
78,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1-c1ccccc1)C=CC=2,CS(=O)C,556.0,573.0,46.71,2.187
79,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OC(=O)C)cc1)C=CC=2,CS(=O)C,566.0,595.0,46.71,2.187
80,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(Oc3ccc(OC)cc3)ccc1)C=CC=2,CS(=O)C,555.0,570.0,46.71,2.187
81,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(ccc1O)C(C)(C)C)C=CC=2,CS(=O)C,564.0,587.0,46.71,2.187
82,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\C=C\c1cc(OC)c(OC(=O)C)cc1)C=CC=2,CS(=O)C,576.0,593.0,46.71,2.187
83,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCCCCCC)cc1)C=CC=2,CS(=O)C,565.0,587.0,46.71,2.187
84,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCCCC)cc1)C=CC=2,CS(=O)C,565.0,589.0,46.71,2.187
85,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCC=C)cc1)C=CC=2,CS(=O)C,564.0,586.0,46.71,2.187
86,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C(OCC)OCC)C=CC=2,CS(=O)C,563.0,581.0,46.71,2.187
87,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(ncc1)cccc3)C=CC=2,CS(=O)C,560.0,583.0,46.71,2.187
88,Brc1ccc(cc1)COc1ccc(cc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,563.0,585.0,46.71,2.187
89,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OCC)c(OCC)cc1)C=CC=2,CS(=O)C,568.0,600.0,46.71,2.187
90,Brc1cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c(OC)cc1,CS(=O)C,561.0,578.0,46.71,2.187
91,Clc1cc(Cl)cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c1O,CS(=O)C,560.0,575.0,46.71,2.187
92,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(cc(C=O)c1O)C(C)(C)C)C=CC=2,CS(=O)C,560.0,576.0,46.71,2.187
93,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(ccc1OC)cccc3)C=CC=2,CS(=O)C,575.0,614.0,46.71,2.187
94,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(OC)cc1)C=CC=2,CS(=O)C,567.0,597.0,46.71,2.187
95,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(OCC)cc1)C=CC=2,CS(=O)C,568.0,599.0,46.71,2.187
96,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(O)c([N+](=O)[O-])cc1)C=CC=2,CS(=O)C,562.0,580.0,46.71,2.187
97,s1c(ccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C)-c1ccccc1,CS(=O)C,589.0,625.0,46.71,2.187
98,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c(C)c(C)c(C)c(C)c1C)C=CC=2,CS(=O)C,540.0,575.0,46.71,2.187
99,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OC(F)(F)F)cc1)C=CC=2,CS(=O)C,563.0,579.0,46.71,2.187
100,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)\C=C\c1ccccc1)C=CC=2,CS(=O)C,564.0,585.0,46.71,2.187
101,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccoc1)C=CC=2,CS(=O)C,549.0,565.0,46.71,2.187
102,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1nccn1C)C=CC=2,CS(=O)C,569.0,596.0,46.71,2.187
103,Brc1cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c(O)cc1,CS(=O)C,562.0,585.0,46.71,2.187
104,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\OC(C)(C)C)C=CC=2,CS(=O)C,560.0,586.0,46.71,2.187
105,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc-3c(Cc4c-3cccc4)cc1)C=CC=2,CS(=O)C,571.0,592.0,46.71,2.187
106,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)CCC)C=CC=2,CS(=O)C,558.0,573.0,46.71,2.187
107,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1[nH]cnc1)C=CC=2,CS(=O)C,557.0,578.0,46.71,2.187
108,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c(OC)cc(OC)cc1OC)C=CC=2,CS(=O)C,578.0,608.0,46.71,2.187
109,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cccc(OC)c1OC)C=CC=2,CS(=O)C,556.0,573.0,46.71,2.187
110,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\C=C(\c1ccccc1)/c1ccccc1)C=CC=2,CS(=O)C,578.0,603.0,46.71,2.187
111,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)-c1ncccc1)C=CC=2,CS(=O)C,564.0,581.0,46.71,2.187
112,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c4c(CCc4ccc3)cc1)C=CC=2,CS(=O)C,575.0,614.0,46.71,2.187
113,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCc3ccccc3)cc1)C=CC=2,CS(=O)C,564.0,586.0,46.71,2.187
114,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(OC(=O)C)c(OC)c1)C=CC=2,CS(=O)C,574.0,618.0,46.71,2.187
115,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3cc(OC)ccc3[nH]c1)C=CC=2,CS(=O)C,587.0,639.0,46.71,2.187
116,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(O)c(OC)c1)C=CC=2,CS(=O)C,575.0,628.0,46.71,2.187
117,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cccc(OC)c1O)C=CC=2,CS(=O)C,561.0,585.0,46.71,2.187
118,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(cc(C(C)(C)C)c1O)C(C)(C)C)C=CC=2,CS(=O)C,572.0,595.0,46.71,2.187
119,Ic1cc(cc(OC)c1O)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,568.0,591.0,46.71,2.187
120,Brc1sc(cc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,572.0,591.0,46.71,2.187
121,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(Oc3ccccc3)cc1)C=CC=2,CS(=O)C,560.0,580.0,46.71,2.187
122,Ic1cc(I)cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c1O,CS(=O)C,563.0,581.0,46.71,2.187
123,Brc1cc(ccc1O)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,564.0,587.0,46.71,2.187
124,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(O)ccc1)C=CC=2,CS(=O)C,556.0,573.0,46.71,2.187
125,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c(cc(cc1C)C)C)C=CC=2,CS(=O)C,559.0,585.0,46.71,2.187
126,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OC)cc1)C=CC=2,CS(=O)C,564.0,586.0,46.71,2.187
127,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(NC(=O)C)cc1)C=CC=2,CS(=O)C,565.0,587.0,46.71,2.187
128,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(OC(OC(C)(C)C)=O)cc1)C=CC=2,CS(=O)C,558.0,573.0,46.71,2.187
129,Clc1cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c(O)cc1,CS(=O)C,562.0,581.0,46.71,2.187
130,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(O)ccc1O)C=CC=2,CS(=O)C,569.0,573.0,46.71,2.187
131,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cccc(O)c1O)C=CC=2,CS(=O)C,563.0,580.0,46.71,2.187
132,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cccc(OCC)c1O)C=CC=2,CS(=O)C,562.0,580.0,46.71,2.187
133,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OC(OC(C)(C)C)=O)cc1)C=CC=2,CS(=O)C,566.0,590.0,46.71,2.187
134,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1OCC(O)=O)C=CC=2,CS(=O)C,561.0,580.0,46.71,2.187
135,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc([N+](=O)[O-])c(O)cc1)C=CC=2,CS(=O)C,561.0,574.0,46.71,2.187
136,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(O)c(OC)cc1)C=CC=2,CS(=O)C,568.0,592.0,46.71,2.187
137,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc([N+](=O)[O-])ccc1O)C=CC=2,CS(=O)C,560.0,573.0,46.71,2.187
138,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1[nH]cnc1C)C=CC=2,CS(=O)C,566.0,593.0,46.71,2.187
139,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1oc(cc1)C)C=CC=2,CS(=O)C,573.0,597.0,46.71,2.187
140,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc3c(cc1)cccc3)C=CC=2,CS(=O)C,564.0,582.0,46.71,2.187
141,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc3OCOc3cc1)C=CC=2,CS(=O)C,566.0,592.0,46.71,2.187
142,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCCC)cc1)C=CC=2,CS(=O)C,565.0,588.0,46.71,2.187
143,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C=O)C=CC=2,CS(=O)C,563.0,580.0,46.71,2.187
144,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1C)C=CC=2,CS(=O)C,556.0,573.0,46.71,2.187
145,Clc1cc(Cl)ccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,558.0,573.0,46.71,2.187
146,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\C=C\c1ccccc1)C=CC=2,CS(=O)C,572.0,591.0,46.71,2.187
147,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(O)cc1)C=CC=2,CS(=O)C,566.0,594.0,46.71,2.187
148,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C(F)(F)F)C=CC=2,CS(=O)C,554.0,568.0,46.71,2.187
149,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCCCN(C)C)cc1)C=CC=2,CS(=O)C,563.0,583.0,46.71,2.187
150,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OCC)c(OC)cc1)C=CC=2,CS(=O)C,568.0,598.0,46.71,2.187
151,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(cccc3)c(O)cc1)C=CC=2,CS(=O)C,586.0,661.0,46.71,2.187
152,Clc1c(cccc1Cl)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,555.0,572.0,46.71,2.187
153,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C(C)(C)C)C=CC=2,CS(=O)C,558.0,573.0,46.71,2.187
154,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(Oc3ccc(OC)cc3)cc1)C=CC=2,CS(=O)C,562.0,582.0,46.71,2.187
155,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)-c1ccc(cc1)C(OC)=O)C=CC=2,CS(=O)C,564.0,582.0,46.71,2.187
156,Brc1cc(sc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,567.0,583.0,46.71,2.187
157,Clc1cc(ccc1Cl)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,557.0,571.0,46.71,2.187
158,Brc1cc2c([nH]cc2\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)cc1,CS(=O)C,580.0,621.0,46.71,2.187
159,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)ccc1)C=CC=2,CS(=O)C,555.0,570.0,46.71,2.187
160,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)B(O)O)C=CC=2,CS(=O)C,558.0,573.0,46.71,2.187
161,s1c(ccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C)C=O,CS(=O)C,580.0,598.0,46.71,2.187
162,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1O)C=CC=2,CS(=O)C,562.0,580.0,46.71,2.187
163,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1C(O)=O)C=CC=2,CS(=O)C,554.0,569.0,46.71,2.187
164,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OC)cc1O)C=CC=2,CS(=O)C,573.0,607.0,46.71,2.187
165,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(O)c(O)c1O)C=CC=2,CS(=O)C,584.0,628.0,46.71,2.187
166,Clc1cc(ccc1OC)-c1oc(cc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,600.0,664.0,46.71,2.187
