SoluteSMILES,SolventSMILES,DeltaGsolv
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\C=C\c1ccccc1OC)C=CC=2,CS(=O)C,19.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1)C=CC=2,CS(=O)C,14.0
Clc1cc(cc(OC)c1O)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,18.0
s1c(ccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C)-c1sccc1,CS(=O)C,53.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(cccc3)c(OC)cc1)C=CC=2,CS(=O)C,64.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(ccc1O)C)C=CC=2,CS(=O)C,21.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(ccc1C)cccc3)C=CC=2,CS(=O)C,39.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1nc3c(cc1)cccc3)C=CC=2,CS(=O)C,14.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(cccc3)c(cc1)C)C=CC=2,CS(=O)C,29.0
s1cc(c2c1cccc2)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,21.0
Clc1c(O)c(OC)ccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,23.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1-c1ccccc1)C=CC=2,CS(=O)C,17.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OC(=O)C)cc1)C=CC=2,CS(=O)C,29.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(Oc3ccc(OC)cc3)ccc1)C=CC=2,CS(=O)C,15.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(ccc1O)C(C)(C)C)C=CC=2,CS(=O)C,23.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\C=C\c1cc(OC)c(OC(=O)C)cc1)C=CC=2,CS(=O)C,17.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCCCCCC)cc1)C=CC=2,CS(=O)C,22.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCCCC)cc1)C=CC=2,CS(=O)C,24.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCC=C)cc1)C=CC=2,CS(=O)C,22.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C(OCC)OCC)C=CC=2,CS(=O)C,18.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(ncc1)cccc3)C=CC=2,CS(=O)C,23.0
Brc1ccc(cc1)COc1ccc(cc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,22.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OCC)c(OCC)cc1)C=CC=2,CS(=O)C,32.0
Brc1cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c(OC)cc1,CS(=O)C,17.0
Clc1cc(Cl)cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c1O,CS(=O)C,15.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(cc(C=O)c1O)C(C)(C)C)C=CC=2,CS(=O)C,16.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(ccc1OC)cccc3)C=CC=2,CS(=O)C,39.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(OC)cc1)C=CC=2,CS(=O)C,30.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(OCC)cc1)C=CC=2,CS(=O)C,31.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(O)c([N+](=O)[O-])cc1)C=CC=2,CS(=O)C,18.0
s1c(ccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C)-c1ccccc1,CS(=O)C,36.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c(C)c(C)c(C)c(C)c1C)C=CC=2,CS(=O)C,35.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OC(F)(F)F)cc1)C=CC=2,CS(=O)C,16.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)\C=C\c1ccccc1)C=CC=2,CS(=O)C,21.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccoc1)C=CC=2,CS(=O)C,16.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1nccn1C)C=CC=2,CS(=O)C,27.0
Brc1cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c(O)cc1,CS(=O)C,23.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\OC(C)(C)C)C=CC=2,CS(=O)C,26.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc-3c(Cc4c-3cccc4)cc1)C=CC=2,CS(=O)C,21.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)CCC)C=CC=2,CS(=O)C,15.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1[nH]cnc1)C=CC=2,CS(=O)C,21.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c(OC)cc(OC)cc1OC)C=CC=2,CS(=O)C,30.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cccc(OC)c1OC)C=CC=2,CS(=O)C,17.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\C=C(\c1ccccc1)/c1ccccc1)C=CC=2,CS(=O)C,25.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)-c1ncccc1)C=CC=2,CS(=O)C,17.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c4c(CCc4ccc3)cc1)C=CC=2,CS(=O)C,39.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCc3ccccc3)cc1)C=CC=2,CS(=O)C,22.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(OC(=O)C)c(OC)c1)C=CC=2,CS(=O)C,44.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3cc(OC)ccc3[nH]c1)C=CC=2,CS(=O)C,52.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(O)c(OC)c1)C=CC=2,CS(=O)C,53.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cccc(OC)c1O)C=CC=2,CS(=O)C,24.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(cc(C(C)(C)C)c1O)C(C)(C)C)C=CC=2,CS(=O)C,23.0
Ic1cc(cc(OC)c1O)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,23.0
Brc1sc(cc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,19.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(Oc3ccccc3)cc1)C=CC=2,CS(=O)C,20.0
Ic1cc(I)cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c1O,CS(=O)C,18.0
Brc1cc(ccc1O)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,23.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(O)ccc1)C=CC=2,CS(=O)C,17.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c(cc(cc1C)C)C)C=CC=2,CS(=O)C,26.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OC)cc1)C=CC=2,CS(=O)C,22.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(NC(=O)C)cc1)C=CC=2,CS(=O)C,22.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(OC(OC(C)(C)C)=O)cc1)C=CC=2,CS(=O)C,15.0
Clc1cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c(O)cc1,CS(=O)C,19.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(O)ccc1O)C=CC=2,CS(=O)C,4.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cccc(O)c1O)C=CC=2,CS(=O)C,17.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cccc(OCC)c1O)C=CC=2,CS(=O)C,18.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OC(OC(C)(C)C)=O)cc1)C=CC=2,CS(=O)C,24.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1OCC(O)=O)C=CC=2,CS(=O)C,19.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc([N+](=O)[O-])c(O)cc1)C=CC=2,CS(=O)C,13.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(O)c(OC)cc1)C=CC=2,CS(=O)C,24.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc([N+](=O)[O-])ccc1O)C=CC=2,CS(=O)C,13.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1[nH]cnc1C)C=CC=2,CS(=O)C,27.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1oc(cc1)C)C=CC=2,CS(=O)C,24.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc3c(cc1)cccc3)C=CC=2,CS(=O)C,18.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc3OCOc3cc1)C=CC=2,CS(=O)C,26.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCCC)cc1)C=CC=2,CS(=O)C,23.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C=O)C=CC=2,CS(=O)C,17.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1C)C=CC=2,CS(=O)C,17.0
Clc1cc(Cl)ccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,15.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\C=C\c1ccccc1)C=CC=2,CS(=O)C,19.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(O)cc1)C=CC=2,CS(=O)C,28.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C(F)(F)F)C=CC=2,CS(=O)C,14.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCCCN(C)C)cc1)C=CC=2,CS(=O)C,20.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OCC)c(OC)cc1)C=CC=2,CS(=O)C,30.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(cccc3)c(O)cc1)C=CC=2,CS(=O)C,75.0
Clc1c(cccc1Cl)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,17.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C(C)(C)C)C=CC=2,CS(=O)C,15.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(Oc3ccc(OC)cc3)cc1)C=CC=2,CS(=O)C,20.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)-c1ccc(cc1)C(OC)=O)C=CC=2,CS(=O)C,18.0
Brc1cc(sc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,16.0
Clc1cc(ccc1Cl)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,14.0
Brc1cc2c([nH]cc2\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)cc1,CS(=O)C,41.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)ccc1)C=CC=2,CS(=O)C,15.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)B(O)O)C=CC=2,CS(=O)C,15.0
s1c(ccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C)C=O,CS(=O)C,18.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1O)C=CC=2,CS(=O)C,18.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1C(O)=O)C=CC=2,CS(=O)C,15.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OC)cc1O)C=CC=2,CS(=O)C,34.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(O)c(O)c1O)C=CC=2,CS(=O)C,44.0
Clc1cc(ccc1OC)-c1oc(cc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,64.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1OC)C=CC=2,CS(=O)C,18.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)-c1cncnc1)C=CC=2,CS(=O)C,17.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(O)cc(O)c1)C=CC=2,CS(=O)C,15.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1OCC=C)C=CC=2,CS(=O)C,19.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1[nH]c(cc1C)C)C=CC=2,CS(=O)C,58.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OC)cc1OC)C=CC=2,CS(=O)C,33.0
Clc1ccccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,15.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C)C=CC=2,CS(=O)C,15.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)cc(OC)c1)C=CC=2,CS(=O)C,15.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1OCc1ccccc1)C=CC=2,CS(=O)C,17.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C(OC)=O)C=CC=2,CS(=O)C,17.0
Clc1c(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c(Cl)cc(OC)c1O,CS(=O)C,27.0
P(c1ccccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C)(c1ccccc1)c1ccccc1,CS(=O)C,15.0
Brc1cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c(OC)c(OC)c1,CS(=O)C,16.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3OCOc3ccc1)C=CC=2,CS(=O)C,15.0
s1c(ccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C)C,CS(=O)C,23.0
Ic1ccc(cc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,14.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1oc(cc1)CO)C=CC=2,CS(=O)C,19.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(F)ccc1OC)C=CC=2,CS(=O)C,18.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1OC(F)F)C=CC=2,CS(=O)C,16.0
Brc1cc(Br)cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c1OC,CS(=O)C,15.0
Ic1cc(cc(OC)c1OC)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(=O)C,18.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c(cccc1C)C)C=CC=2,CS(=O)C,26.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(cc(F)c1)C(F)(F)F)C=CC=2,CS(=O)C,16.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)ccc1F)C=CC=2,CS(=O)C,16.0
Brc1cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c(OC)cc1OC,CS(=O)C,31.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)-c1cc(ccc1)C(O)=O)C=CC=2,CS(=O)C,16.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(F)c(cc1)C)C=CC=2,CS(=O)C,15.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc([N+](=O)[O-])ccc1OC)C=CC=2,CS(=O)C,18.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1CC)C=CC=2,CS(=O)C,17.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc([N+](=O)[O-])c(cc1)CC)C=CC=2,CS(=O)C,15.0
Clc1cc(cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c1F)C(F)(F)F,CS(=O)C,21.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c(OC)cccc1F)C=CC=2,CS(=O)C,17.0
